dataset,field_id,type,description,coverage,alphaCount,userCount,score
model16,relative_valuation_rank_derivative,MATRIX,Assesses whether the stock is under or overpriced based on standard valuation multiples indicator variant,1.0,229,148,179.40052461895925
sentiment1,snt1_cored1_score,MATRIX,"Proprietary composite analyst score; bearish if < 5, bullish if > 5, neutral if between -5 and 5",0.6497,3831,590,179.39050147793802
pv13,pv13_2l_scibr,GROUP,grouping fields,0.9385,362,202,179.36005823785746
socialmedia12,snt_buzz_fast_d1,MATRIX,"Negative relative sentiment volume measure for current day, with missing values filled as 0",0.9769,239,213,179.32626930852916
model77,asia_pacific_sales_exposure,MATRIX,Proportion of company sales from the Asia-Pacific region,0.7924,863,660,179.32449688729895
model53,mdl53_ms5_1month,MATRIX,"Annualized default probability at the 1-month horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,413,80,179.32090551161536
model77,mdl177_2_surpriseanalystmodel_qsa_surpsn,MATRIX,"Rank of a company's earnings or revenue surprise, normalized relative to its sector (sector-neutral surprise analyst rank)",0.9754,368,92,179.31096390617154
model77,mdl177_fangma_dvm_usa_fangma_dvm5,MATRIX,"Deep value model 5 for FANGMA (Facebook, Apple, Netflix, Google, Mircosoft, Amazon)",1.0,272,101,179.21958201827096
analyst4,max_shareholders_equity_guidance,MATRIX,The maximum guidance value for Total Shareholders' Equity.,1.0,205,178,179.2156907170996
model77,mdl177_relativevaluemodel_fc_estep,MATRIX,Leading 12-Month Median Earnings Yield; calculated as next fiscal year median consensus earnings estimate divided by trading price,0.9743,279,160,179.18491785661482
model77,mdl177_historicalgrowthfactor_chgepsp_alt,MATRIX,"Difference between most recent trailing 12-month earnings per share and 4 quarters ago, divided by month-end trading price",0.9993,342,64,179.17924082113757
model77,mdl177_surpriseanalystmodel_qsa_surpsn,MATRIX,Surprise Analyst Sector-Neutral Rank,0.9754,369,89,179.174078408034
news12,nws12_prez_5l,VECTOR,Number of minutes that elapsed before price went up 5 percentage points,0.9199,420,208,179.12799959664787
model77,mdl177_2_earningmomentumfactor400_q1aepsg,MATRIX,EPS growth estimate for next fiscal quarter,0.9172,473,173,179.12734971302342
news12,news_mins_10_chg,MATRIX,"Minimum value among L or S for each minute bucket, indicating the fastest reaction time at the 10th percentile",0.7395,1631,512,179.12699458109438
model77,mdl177_2_vma2_vma2,MATRIX,Value Momentum Analyst II overall composite score combining Value and Momentum components,1.0,266,103,179.09444107970936
news12,news_all_vwap,MATRIX,"VWAP across all sessions (pre, main, post)",0.728,1582,676,179.0591269633715
analyst4,actuals_reporting_currency,VECTOR,Home currency of instrument,0.9876,268,129,179.04478604829632
news12,nws12_mainz_vol_ratio,VECTOR,Curr_Vol / Mov_Vol,0.9712,339,111,179.00195053257755
model77,mdl177_garpanalystmodel_qgp_relpegy,MATRIX,"Rolling rank of PEGY ratios over a period, highlighting attractiveness based on earnings growth, price, and yield",1.0,286,86,178.92436275086914
analyst4,est_shequity,MATRIX,Mean of SH Equity segment - mean of estimations,0.7598,1237,562,178.85892267314387
model53,mdl53_jc5_4year,MATRIX,Annualized default probability at the 4-year horizon (percentage),0.965,324,130,178.7142384393031
analyst4,operating_profit_max_guidance_qtr,MATRIX,The maximum guidance value for Earnings Before Interest and Taxes.,1.0,194,179,178.69477984008853
model77,mdl177_2_sensitivityfactor400_chginvavgast,MATRIX,"12-month change in quarterly total inventory, normalized by the average assets between the most recent quarter-end and the same quarter one year prior",0.9051,562,136,178.44270091053755
model77,mdl177_valueanalystmodel_qva_epmodule_alt,MATRIX,"Rank of cyclicality measures of a company’s earnings, indicating earnings stability or volatility",1.0,224,127,178.4211553416423
model77,mdl177_valueanalystmodel_qva_composite,MATRIX,Overall composite rank aggregating Value Analyst factors for the stock,1.0,248,103,178.39648346035392
analyst4,dividend_max_guidance_value,MATRIX,The maximum guidance value for Dividend per share on an annual basis.,1.0,203,153,178.3659629505103
analyst4,operating_profit_before_depr_amort_min_guidance_qtr,MATRIX,"Minimum guidance value for Earnings before interest, taxes, depreciation and amortization",1.0,189,173,178.26551721767748
model53,mdl53_jm5_3month,MATRIX,3-month annualized default probability (percentage) from Kamakura hybrid Jarrow–Merton v5 model,0.965,412,72,178.1867731353523
model53,mdl53_ms5_5year,MATRIX,"Annualized default probability at the 5-year horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,370,79,178.16215379944376
model77,mdl177_2_earningmomentumfactor400_surp,MATRIX,"Earnings surprise: actual EPS minus forecast, scaled by price at quarter end",0.9467,305,189,178.14097138032625
analyst4,anl4_adxqfv110_numest,VECTOR,The number of forecasts counted in aggregation,0.6979,1516,1118,178.1358533350449
model77,mdl177_valueanalystmodel_qva_shortfall_alt,MATRIX,Rank reflecting the degree to which earnings fall short of expectations or guidance,0.9839,258,122,178.01920239385746
model77,mdl77_shortsentimentfactor_act_util,MATRIX,Account Utility,0.9497,291,189,177.97265838348525
